,v0151_etra_frequencytravel1_num,GV_230#11,v0013_demo_agecat_num,GV_133#11,v9990_demo_income2gbr_num,GV_31#9,GV_14#99,GV_230#2,v0152_etra_frequencytravel2_num,v0157_etra_brandsflights#2,GV_163#97,GV_174#26,GV_174#41,GV_339#9999,GV_230#1,GV_136#22,GV_132#1,GV_136#25,GV_174#69,GV_31#4,GV_230#19,lives_in_england,GV_198#17,GV_198#20,v9992_demo_migration#1,GV_163#7,GV_133#5,GV_227#1,GV_163#110,GV_136#28,wave
48,2.0,-99.0,35.0,-99.0,31.0,-99.0,1.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,0.0,0.0,0.0,0.0,-99.0,-99.0,0.0,-99.0,1.0
49,2.0,0.0,45.0,0.0,15.0,0.0,1.0,0.0,0.0,-99.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
50,2.0,0.0,45.0,0.0,31.0,0.0,1.0,0.0,0.0,-99.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
51,2.0,0.0,35.0,1.0,57.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
52,2.0,0.0,25.0,1.0,57.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
53,2.0,0.0,55.0,0.0,19.0,1.0,1.0,0.0,0.0,-99.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
54,2.0,0.0,55.0,-99.0,0.0,0.0,-99.0,0.0,0.0,-99.0,0.0,-99.0,-99.0,0.0,0.0,0.0,-99.0,0.0,-99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,0.0,1.0
55,2.0,0.0,25.0,0.0,48.4,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
56,2.0,0.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0,-99.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
57,2.0,0.0,25.0,0.0,76.0,0.0,1.0,0.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-99.0,0.0,0.0,1.0
58,2.0,-99.0,45.0,-99.0,31.0,-99.0,0.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,0.0,-99.0,1.0
59,2.0,0.0,35.0,0.0,57.0,0.0,1.0,0.0,0.0,-99.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
60,2.0,0.0,25.0,0.0,43.0,-99.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-99.0,1.0,-99.0,1.0,-99.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-99.0,1.0
61,2.0,-99.0,18.0,-99.0,22.0,-99.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,0.0,-99.0,1.0
62,2.0,0.0,55.0,0.0,76.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
63,2.0,-99.0,55.0,-99.0,22.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0
64,2.0,0.0,25.0,0.0,15.0,1.0,-99.0,0.0,0.0,-99.0,1.0,-99.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-99.0,0.0,-99.0,1.0
65,2.0,0.0,35.0,0.0,22.0,-99.0,1.0,0.0,0.0,0.0,1.0,-99.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,0.0,1.0,-99.0,-99.0,1.0,0.0,1.0,-99.0,0.0,-99.0,1.0
66,2.0,0.0,18.0,1.0,31.0,0.0,1.0,0.0,0.0,0.0,1.0,-99.0,-99.0,0.0,0.0,-99.0,0.0,-99.0,-99.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-99.0,1.0
67,2.0,-99.0,35.0,-99.0,43.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0
68,2.0,0.0,25.0,0.0,19.0,0.0,1.0,0.0,0.0,-99.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
69,2.0,0.0,45.0,0.0,31.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
70,2.0,-99.0,18.0,-99.0,0.0,0.0,1.0,-99.0,0.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,1.0,-99.0,0.0,0.0,0.0,0.0,0.0,-99.0,-99.0,0.0,0.0,1.0
71,2.0,0.0,25.0,0.0,43.0,-99.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-99.0,0.0,-99.0,1.0,-99.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0
72,2.0,0.0,45.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
73,2.0,-99.0,45.0,0.0,0.0,1.0,0.0,-99.0,0.0,-99.0,1.0,0.0,0.0,-99.0,-99.0,0.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0,1.0
74,2.0,0.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,-99.0,1.0,0.0,0.0,-99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
75,2.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,-99.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
76,2.0,-99.0,18.0,-99.0,31.0,-99.0,-99.0,-99.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,0.0,1.0
77,2.0,0.0,35.0,0.0,48.4,0.0,1.0,0.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,-99.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,-99.0,0.0,0.0,1.0
78,2.0,-99.0,55.0,-99.0,48.4,0.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,-99.0,1.0,0.0,0.0,0.0,0.0,-99.0,-99.0,0.0,-99.0,1.0
79,2.0,0.0,35.0,1.0,98.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
80,2.0,-99.0,25.0,-99.0,57.0,-99.0,-99.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,-99.0,-99.0,0.0,0.0,0.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0
81,2.0,0.0,55.0,0.0,15.0,0.0,1.0,0.0,0.0,-99.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
82,2.0,0.0,18.0,0.0,43.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
83,2.0,-99.0,25.0,0.0,0.0,-99.0,0.0,-99.0,0.0,1.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,0.0,0.0,1.0,0.0,0.0,-99.0,0.0,-99.0,1.0
84,2.0,0.0,45.0,1.0,22.0,0.0,-99.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
85,2.0,0.0,55.0,0.0,0.0,0.0,1.0,0.0,0.0,-99.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
86,2.0,-99.0,55.0,-99.0,57.0,-99.0,-99.0,-99.0,0.0,-99.0,0.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,1.0,-99.0,-99.0,0.0,1.0,-99.0,-99.0,0.0,-99.0,1.0
87,2.0,0.0,55.0,1.0,0.0,1.0,0.0,0.0,0.0,-99.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
88,2.0,0.0,55.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-99.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-99.0,0.0,0.0,1.0
